tradeIndex,type,message
172,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=346, OUT=347"
173,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=348, OUT=349"
174,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=350, OUT=351"
174,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
175,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=352, OUT=353"
175,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
176,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=354, OUT=355"
177,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=356, OUT=357"
178,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=358, OUT=359"
179,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=360, OUT=361"
180,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=362, OUT=363"
181,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=364, OUT=365"
181,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
182,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=366, OUT=367"
183,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=368, OUT=369"
184,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=370, OUT=371"
185,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=372, OUT=373"
186,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=374, OUT=375"
187,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=376, OUT=377"
188,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=378, OUT=379"
188,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
189,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=380, OUT=381"
190,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=382, OUT=383"
191,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=384, OUT=385"
191,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
192,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=386, OUT=387"
193,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=388, OUT=389"
194,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=390, OUT=391"
194,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
195,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=392, OUT=393"
195,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
196,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=394, OUT=395"
197,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=396, OUT=397"
198,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=398, OUT=399"
198,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
199,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=400, OUT=401"
200,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=402, OUT=403"
200,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
201,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=404, OUT=405"
202,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=406, OUT=407"
202,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
203,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=408, OUT=409"
204,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=410, OUT=411"
205,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=412, OUT=413"
205,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
206,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=414, OUT=415"
207,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=416, OUT=417"
208,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=418, OUT=419"
208,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
209,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=420, OUT=421"
210,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=422, OUT=423"
211,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=424, OUT=425"
211,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
212,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=426, OUT=427"
213,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=428, OUT=429"
214,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=430, OUT=431"
215,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=432, OUT=433"
216,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=434, OUT=435"
217,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=436, OUT=437"
217,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
218,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=438, OUT=439"
219,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=440, OUT=441"
220,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=442, OUT=443"
221,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=444, OUT=445"
221,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
222,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=446, OUT=447"
223,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=448, OUT=449"
223,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
224,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=450, OUT=451"
225,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=452, OUT=453"
226,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=454, OUT=455"
227,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=456, OUT=457"
227,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
228,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=458, OUT=459"
229,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=460, OUT=461"
230,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=462, OUT=463"
230,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
231,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=464, OUT=465"
231,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
232,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=466, OUT=467"
233,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=468, OUT=469"
233,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
234,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=470, OUT=471"
235,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=472, OUT=473"
235,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
236,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=474, OUT=475"
236,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
237,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=476, OUT=477"
238,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=478, OUT=479"
239,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=480, OUT=481"
239,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
