dataset,symbol,version,timeframe,signal_metric,outcome_metric,correlation,p_value,n_samples,significant
NAS100_v3.0_1H,NAS100,v3.0,1H,Confluence,Profit,0.020024096670157695,0.6827601756658435,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Confluence,ProfitPercent,0.0184474665739274,0.7065346655096011,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Confluence,IsWin,0.03454321287727417,0.4806981796409089,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Confluence,RRatio,0.0184474665739274,0.7065346655096011,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Confluence,Pips,0.020105435961185227,0.6815418581800028,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Momentum,Profit,0.025754376090595273,0.5991027491110268,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Momentum,ProfitPercent,0.024206325817309936,0.6212473470148253,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Momentum,IsWin,0.04596955407936702,0.34790608584602795,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Momentum,RRatio,0.024206325817309936,0.6212473470148253,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Momentum,Pips,0.02579754708841427,0.5984903328116432,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Speed,Profit,0.020152300257584247,0.6808402898967763,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Speed,ProfitPercent,0.017139417987646705,0.726479229872523,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Speed,IsWin,0.026464502856227184,0.5890652035770179,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Speed,RRatio,0.017139417987646705,0.726479229872523,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Speed,Pips,0.02021468736928468,0.6799067686848356,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Acceleration,Profit,0.06876949735183521,0.1599810933908082,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Acceleration,ProfitPercent,0.06623734116342499,0.17596598719551956,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Acceleration,IsWin,0.03266987279271324,0.5048258650958967,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Acceleration,RRatio,0.06623734116342499,0.17596598719551956,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Acceleration,Pips,0.06873286797266985,0.16020425185509307,419,False
