EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,PhysicsScore,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,4.13_PRODUCTION,2025.09.22 06:55,NAS100,1,BUY,86.33333333333334,100.0,93.44328904787665,4123.220100860812,367.01287951313134,0.0,24.625902308287124,92.48852268504562,BULL,NORMAL,24647.5,20.0,0.0,0.0,994.13,995.28,1,PASS,PASS,6,1
TP_Integrated_EA,4.13_PRODUCTION,2025.09.22 09:00,NAS100,-1,SELL,89.0,80.0,-133.95350878974764,-4286.256237121199,-697.5383888971799,0.0,82.53293633825683,32.18997022536926,BEAR,NORMAL,24624.8,39.00000000001455,0.0,0.0,994.13,995.05,1,PASS,PASS,9,1
TP_Integrated_EA,4.13_PRODUCTION,2025.09.22 10:55,NAS100,1,BUY,89.0,80.0,120.47306563660231,479.0513589579157,4902.970685216674,0.0,218.49769620240284,96.5,BULL,HIGH,24572.7,38.99999999997817,0.0,0.0,995.05,995.53,1,PASS,PASS,10,1
TP_Integrated_EA,4.13_PRODUCTION,2025.09.22 16:45,NAS100,1,BUY,91.66666666666667,100.0,389.5815023513343,11493.1728341259,796.6340506003144,0.0,-246.6052945912342,84.16666666666667,BULL,NORMAL,24630.9,35.0,0.0,0.0,995.53,996.08,1,PASS,PASS,16,1
TP_Integrated_EA,4.13_PRODUCTION,2025.09.22 17:00,NAS100,1,BUY,89.0,100.0,367.11525995595014,13697.745712536072,785.9130242484844,0.0,-78.30771153358944,85.5269216349808,BULL,NORMAL,24658.2,33.99999999997817,0.0,0.0,995.53,996.35,1,PASS,PASS,17,1
TP_Integrated_EA,4.13_PRODUCTION,2025.09.22 17:30,NAS100,1,BUY,86.33333333333334,100.0,589.812829162958,8187.649411735922,135.4193782401323,0.0,284.1465764485704,93.78978670134326,BULL,HIGH,24686.4,35.0,0.0,0.0,995.53,996.63,1,PASS,PASS,17,1
TP_Integrated_EA,4.13_PRODUCTION,2025.09.23 02:05,NAS100,1,BUY,86.33333333333334,100.0,70.70855575171055,1988.0962147208963,3187.658479330123,0.0,540.2694970085299,96.43647501471163,BULL,LOW,24777.8,45.0,0.0,0.0,995.53,997.51,1,PASS,PASS,2,2
TP_Integrated_EA,4.13_PRODUCTION,2025.09.23 08:25,NAS100,1,BUY,86.33333333333334,100.0,109.16053735198639,3083.3435328577807,934.5891652448131,0.0,-205.7189499220823,83.63333333333334,BULL,NORMAL,24785.2,40.0,0.0,0.0,995.53,997.58,1,PASS,PASS,8,2
TP_Integrated_EA,4.13_PRODUCTION,2025.09.23 11:05,NAS100,1,BUY,86.33333333333334,100.0,269.2726280635972,3463.053952157489,575.1197718402644,0.0,-230.0507646800193,83.63333333333334,BULL,NORMAL,24797.1,39.00000000001455,0.0,0.0,995.53,997.7,1,PASS,PASS,11,2
TP_Integrated_EA,4.13_PRODUCTION,2025.09.23 11:55,NAS100,-1,SELL,89.0,80.0,-95.10411835700742,-1023.6594720865533,-646.1342768743822,0.0,348.95381063386264,33.867191123224444,BEAR,NORMAL,24795.8,40.0,0.0,0.0,995.53,997.69,1,PASS,PASS,11,2
