EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 03:45,NAS100,1,BUY,75.66666666666667,60.0,-125.14585325037545,-6037.21211901926,1631.4510855637263,0.0,285.43342535268044,AVOID,NORMAL,20799.0,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,3,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 04:00,NAS100,1,BUY,73.0,60.0,-155.49081018862788,-4735.513829226057,1799.7100890639285,0.0,377.2716920788849,AVOID,NORMAL,20797.0,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,4,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 04:50,NAS100,-1,SELL,75.66666666666666,80.0,-85.47912374829663,-1052.9099717648708,-100.03291451950228,0.0,89.42907863329174,AVOID,NORMAL,20800.7,40.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,4,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 05:05,NAS100,1,BUY,78.33333333333333,80.0,19.832784458832705,726.6003086630327,2453.9209688241294,0.0,647.5489610590822,AVOID,NORMAL,20811.2,40.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,5,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 05:10,NAS100,1,BUY,81.0,100.0,130.17185630589245,1739.4573404321068,1639.832698197894,0.0,225.99853937343528,BULL,NORMAL,20812.2,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,5,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 05:45,NAS100,1,BUY,86.33333333333333,60.0,-190.07102527443828,-5917.867259156333,1596.2674252645002,0.0,967.2999112756103,TRANSITION,NORMAL,20780.2,40.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,5,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 06:05,NAS100,1,BUY,81.0,80.0,55.10559994579481,266.54605534053627,1277.74424816078,0.0,-60.14017405269381,AVOID,NORMAL,20787.0,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,6,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 06:15,NAS100,-1,SELL,83.66666666666666,80.0,-187.5631098939599,-1579.6782438273804,-1370.7661872646472,0.0,-553.0105011045368,BEAR,NORMAL,20777.2,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,6,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 06:30,NAS100,1,BUY,81.0,60.0,-219.78948793486177,-2655.9960557915747,110.1279940493032,0.0,155.16837732090423,AVOID,NORMAL,20779.5,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,6,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 06:45,NAS100,1,BUY,83.66666666666667,60.0,-131.43079995257438,-2144.8289938017447,286.35320358072556,0.0,64.4733709368536,TRANSITION,NORMAL,20776.7,40.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,6,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 07:05,NAS100,-1,SELL,89.0,80.0,-266.1609503441539,-4783.436150971735,-1938.1964914816808,0.0,-415.2064445248278,BEAR,NORMAL,20759.0,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,7,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 07:10,NAS100,1,BUY,89.0,60.0,-143.4095123227015,-3245.4388377719556,472.9091412984758,0.0,221.6647845799033,TRANSITION,NORMAL,20770.4,40.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,7,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 07:25,NAS100,1,BUY,86.33333333333334,80.0,25.539331114494637,192.77627809250498,3074.0062251672357,0.0,671.4115987139029,BULL,NORMAL,20772.7,40.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,7,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 07:30,NAS100,-1,SELL,81.0,80.0,-136.88044592367436,-1330.2240072621971,-927.2393520572538,0.0,-532.1153938507603,AVOID,NORMAL,20763.7,40.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,7,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 07:50,NAS100,1,BUY,73.0,60.0,-117.72805104665244,-2012.4105575133754,1921.9807832225897,0.0,624.8946385771293,AVOID,NORMAL,20768.3,40.0,0.0,0.0,0.31,0.31,0,PASS,PASS,7,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 08:05,NAS100,1,BUY,75.66666666666667,100.0,127.35650339358429,2651.2002574531125,2548.4880424691432,0.0,231.34107099900666,AVOID,NORMAL,20777.5,92.00000000000728,0.0,0.0,0.31,0.31,0,PASS,PASS,8,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 08:30,NAS100,1,BUY,81.0,100.0,248.87264908633165,4274.88142179743,221.37709089927588,0.0,-247.85165450340216,AVOID,NORMAL,20784.6,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,8,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 09:05,NAS100,1,BUY,81.0,100.0,217.41831217439727,3797.4976977514875,1064.1277466944819,0.0,237.4525800388027,AVOID,NORMAL,20799.4,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,9,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 09:40,NAS100,-1,SELL,75.66666666666667,80.0,-121.80963082815697,-768.4167247129701,-542.4455374577857,0.0,211.60933150910722,AVOID,NORMAL,20789.1,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,9,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 09:45,NAS100,1,BUY,73.0,60.0,-68.77473498805247,-58.64904967843387,921.5882301486928,0.0,548.1095463198772,AVOID,NORMAL,20791.5,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,9,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 10:15,NAS100,1,BUY,83.66666666666667,60.0,-148.49185996617078,-3857.048612358024,2411.5509911716786,0.0,989.5982856630204,TRANSITION,NORMAL,20775.0,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,10,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 10:30,NAS100,1,BUY,73.0,60.0,-96.5268820208218,-778.1974325663314,2045.2209502825797,0.0,384.3508633749428,AVOID,NORMAL,20775.2,35.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,10,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 10:45,NAS100,1,BUY,75.66666666666666,80.0,6.804997919756715,433.55236292917664,2328.4201254902687,0.0,560.5950329764219,AVOID,NORMAL,20773.7,35.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,10,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 10:50,NAS100,-1,SELL,70.33333333333333,80.0,-236.3933347201683,-963.5686274234358,-1264.8150398740993,0.0,-539.379313974259,AVOID,NORMAL,20766.5,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,10,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 12:05,NAS100,1,BUY,83.66666666666667,60.0,-201.74539107627677,-4240.407158838714,825.3786580278484,0.0,805.2245836798909,TRANSITION,NORMAL,20763.0,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,12,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 12:25,NAS100,1,BUY,75.66666666666667,80.0,43.96859878123392,97.3183908013564,449.02121282153456,0.0,-156.89735332413596,AVOID,NORMAL,20765.2,35.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,12,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 12:55,NAS100,1,BUY,89.0,100.0,345.1665398150355,6125.261292727489,330.3950265549656,0.0,-272.78288053160605,BULL,NORMAL,20794.7,35.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,12,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 13:25,NAS100,1,BUY,89.0,100.0,196.60049183561404,4767.592601536541,1867.501503835503,0.0,688.2372651608596,BULL,NORMAL,20804.0,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,13,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 13:40,NAS100,1,BUY,91.66666666666666,100.0,230.87763637120824,3486.959252689481,284.12735471376743,0.0,198.1752283102762,BULL,NORMAL,20807.7,35.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,13,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 14:15,NAS100,-1,SELL,83.66666666666667,80.0,157.32736513024622,6119.998266002454,-349.5259645815471,0.0,-182.1961911722761,TRANSITION,NORMAL,20840.0,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,14,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 14:20,NAS100,1,BUY,89.0,100.0,333.7049100868283,8720.8657842653,3293.3832751256496,0.0,825.6791627949942,BULL,NORMAL,20847.2,35.99999999998545,0.0,0.0,0.31,0.31,0,PASS,PASS,14,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 14:45,NAS100,1,BUY,83.66666666666667,100.0,207.66212807727655,5077.664141873195,550.5855024395518,0.0,355.9726892850252,BULL,NORMAL,20854.5,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,14,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 15:15,NAS100,1,BUY,89.0,100.0,381.5323541796208,8285.982266962683,1581.9466974991096,0.0,330.71430134258145,BULL,NORMAL,20881.0,35.0,0.0,0.0,0.31,0.31,0,PASS,PASS,15,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 15:30,NAS100,1,BUY,89.0,100.0,375.51106790507185,11027.759133213496,1152.6007376518435,0.0,-58.54764499543694,BULL,NORMAL,20909.4,71.9999999999709,0.0,0.0,0.31,0.31,0,PASS,PASS,15,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 16:35,NAS100,1,BUY,75.66666666666667,100.0,794.2681121740635,4802.60706924266,1369.0869260530894,0.0,531.1798703365683,AVOID,HIGH,20960.0,30.0,0.0,0.0,0.31,0.31,0,PASS,PASS,16,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 18:05,NAS100,1,BUY,78.33333333333334,100.0,856.4369068466755,9395.169641733939,2020.8680049981922,0.0,1130.4485019511162,AVOID,HIGH,21170.6,33.000000000029104,0.0,0.0,0.31,0.31,0,PASS,PASS,18,2
TP_Integrated_EA,3.10_PRODUCTION,2025.05.13 18:30,NAS100,1,BUY,73.0,100.0,811.4331258946344,8410.035538161652,748.838153262077,0.0,405.918943877881,AVOID,NORMAL,21201.9,31.999999999970896,0.0,0.0,0.31,0.31,0,PASS,PASS,18,2
